DATE,GOLD_PRICE,GOLD_OPEN,GOLD_HIGH,GOLD_LOW,GOLD_CHANGE_%
31-10-1990,380.2,382.55,380.2,380.2,0.38
30-10-1990,378.75,380.65,378.75,378.75,1.19
29-10-1990,374.3,374.55,374.3,374.3,0.82
26-10-1990,371.25,378.5,371.25,371.25,-1.38
25-10-1990,376.45,377.45,376.45,376.45,0.72
24-10-1990,373.75,374.55,373.75,373.75,0.75
23-10-1990,370.95,373.75,370.95,370.95,0.32
22-10-1990,369.75,375.35,369.75,369.75,-0.86
19-10-1990,372.95,376,372.95,372.95,0.42
18-10-1990,371.38,371.38,371.38,371.38,1.32
17-10-1990,366.55,368.05,366.55,366.55,1.16
16-10-1990,362.35,376.75,362.35,362.35,-3.57
15-10-1990,375.75,388.25,375.75,375.75,-3.22
12/10/1990,388.25,391.35,388.25,388.25,-0.74
11/10/1990,391.15,392.05,391.15,391.15,0.58
10/10/1990,388.88,394.38,388.88,388.88,-0.41
9/10/1990,390.5,398.4,390.5,390.5,-0.89
8/10/1990,394,396.85,394,394,-0.06
5/10/1990,394.25,396.75,394.25,394.25,0.25
4/10/1990,393.25,399.3,393.25,393.25,-0.35
3/10/1990,394.62,395.48,394.62,394.62,1.43
2/10/1990,389.05,390.25,389.05,389.05,0.13
1/10/1990,388.55,404.25,388.55,388.55,-3.62
28-09-1990,403.15,409.25,403.15,403.15,-0.52
27-09-1990,405.25,407.75,405.25,405.25,-0.52
26-09-1990,407.38,408.48,407.38,407.38,1.49
25-09-1990,401.4,408.5,401.4,401.4,-0.55
24-09-1990,403.62,404.07,403.62,403.62,3.69
21-09-1990,389.25,393.85,389.25,389.25,-0.13
20-09-1990,389.75,389.75,389.75,389.75,1.01
19-09-1990,385.85,388.8,385.85,385.85,-0.77
18-09-1990,388.85,394.55,388.85,388.85,-0.49
17-09-1990,390.75,391.05,390.75,390.75,1.4
14-09-1990,385.35,388.75,385.35,385.35,0.42
13-09-1990,383.75,385.1,383.75,383.75,0.29
12/9/1990,382.65,384.2,382.65,382.65,0.47
11/9/1990,380.85,383.45,380.85,380.85,0.33
10/9/1990,379.6,388.8,379.6,379.6,-2.68
7/9/1990,390.05,391.36,390.05,390.05,-0.05
6/9/1990,390.25,391,390.25,390.25,0.39
5/9/1990,388.75,389.95,388.75,388.75,1.11
4/9/1990,384.5,389.95,384.5,384.5,-0.61
3/9/1990,386.85,389.05,386.85,386.85,1.01
31-08-1990,383,390.05,383,383,-1.61
30-08-1990,389.25,390.95,389.25,389.25,0.45
29-08-1990,387.5,391.25,387.5,387.5,1.17
28-08-1990,383,394.5,383,383,-1.86
27-08-1990,390.25,414.25,390.25,390.25,-5.27
24-08-1990,411.95,414.75,411.95,411.95,0.12
23-08-1990,411.45,417,411.45,411.45,-0.52
22-08-1990,413.62,414.27,413.62,413.62,1.63
21-08-1990,407,415.95,407,407,-0.67
20-08-1990,409.75,414.25,409.75,409.75,0.07
17-08-1990,409.48,415.12,409.48,409.48,-0.22
16-08-1990,410.38,410.38,410.38,410.38,1.89
15-08-1990,402.75,408.65,402.75,402.75,-0.48
14-08-1990,404.68,416.38,404.68,404.68,0.11
13-08-1990,404.25,406.25,404.25,404.25,1.89
10/8/1990,396.75,396.95,396.75,396.75,2.85
